Submitted Date and Time,Institution,Category,Program,Batch,Instructor,How would you rate the overall content of the session?,Were the topics covered relevant to your needs and expectations?,Rate the clarity and depth of the information provided.,How knowledgeable was the instructor about the subject matter?,How engaging was the instructor in delivering the content?,Rate the instructor's ability to answer questions and provide explanations.,How would you rate the overall organization and flow of the session?,Rate the activities/exercises conducted during the session to understand the concepts?,Rate the overall interaction and engagement opportunities during the session.,What did you like most about the session?,What areas do you think need improvement,Allotted To,Feedback
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,NA,NA,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,interactive with examples,nothing,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Practicals by Anushree B,None,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,4,4,4,5,How to build the agentc RAG system,a document needs to be published with step by step instructions,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,4,4,3,3,3,3,3,Explanation of how the RAG system works.,NA,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,3,4,3,4,4,4,4,.,.,,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,2,3,3,3,4,2,3,3,NA,"The overall session needs improvement, seems like these sessions are misaligned with the overall objective of the program. The session generally was an overview of the concepts and then Demo that had 80% walkthrough of the code, line-by-line. It would be better to have a document that we can refer to to understand the code after the session. Also, going through the code line by line would only help the people who are from Coding background, but for non techies, I personally get overwhelmed.",,
2026-06-07T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,3,3,3,3,3,3,3,-,-,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,3,3,3,3,3,3,3,topic,need hands on training,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Practicals,Seperate practical sessions,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,3,3,3,3,3,3,3,need some help for create vm,need some help,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Detailed information,NA,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,5,5,4,5,4,4,4,.,.,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,2,4,2,4,3,2,3,1,2,the content,better practical flow and handholding,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Handson,No,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,4,4,4,4,good,good,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,3,4,4,4,NA,NA,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,4,4,4,4,Na,Na,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,4,4,4,4,presentation,none,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,hands on,Nothing,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,3,3,3,3,3,3,3,Good discussion,Demo can be better,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,The concept of MCP,,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,4,4,4,4,The way MCP topic was taugh in the most simple manner.,techincal part should have been given more time.,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,Its ok,Too technical,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,1,1,1,1,1,1,1,1,1,Nothing specific of now,Too fast and technical and not able to follow. Pls consider non tech profiles in the classroom and conduct in a way for their understanding and execution,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,4,5,5,Real world inputs,organisation and q&a duration,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,the discussion,nil,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,4,4,4,4,4,4,4,4,4,All the discussion,More live session on MCP,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,NA,N,,
2026-06-14T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,3,3,3,3,3,3,3,3,3,lot of information sharing which helps,little chaotic and mis managed due to too many people talking at the same time and Anushree rushing through the demo which was actually causing more confusion atleast to people from non technical background . If this sessions can be at a slow paced keeping non technical people in mind it will help,,
2026-06-21T00:00:00,IIM Visakhapatnam,AI,EPLAI,Batch 1,Prof. Souva Majumder,5,5,5,5,5,5,5,5,5,NA,NA,,
